category,country,year,link,city,lat,lng
Reading tour,Iraq,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Iraq,Baghdad,33.3128057,44.3614875
Reading tour,Iraq,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Iraq,Erbil,36.2062933,44.0088697
Reading tour,Sudan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Sudan-and-South-Sudan,Khartoum,15.5006544,32.5598994
Reading tour,South Sudan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Sudan-and-South-Sudan,Juba,4.859363,31.57125
Reading tour,Uzbekistan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Uzbekistan-and-Turkmenistan,Tashkent,41.2994958,69.2400734
Reading tour,Turkmenistan,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-Uzbekistan-and-Turkmenistan,Ashgabat,37.9600766,58.32606289999999
Reading tour,United Arab Emirates,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-United-Arab-Emirates,Abu Dhabi,24.453884,54.3773438
Reading tour,United Arab Emirates,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-United-Arab-Emirates,Dubai,25.2048493,55.2707828
Reading tour,United Arab Emirates,2013,http://iwp.uiowa.edu/programs/reading-abroad/2013-United-Arab-Emirates,Sharjah,25.3462553,55.4209317
Reading tour,Myanmar,2013,https://iwp.uiowa.edu/programs/reading-abroad/2013-burma-tour,Naypyidaw,19.7633057,96.07851040000001
Silk Routes,Maldives,2014,http://iwp.uiowa.edu/programs/silk-routes,Malé,4.1754959,73.5093474
Reading tour,Haiti,2014,http://iwp.uiowa.edu/programs/reading-abroad/2014-Haiti,Port-au-Prince,18.594395,-72.3074326
Reading tour,Cuba,2014,http://iwp.uiowa.edu/programs/reading-abroad/2014-Cuba,Havana,23.1135925,-82.3665956
Reading tour,China,2014,https://iwp.uiowa.edu/programs/reading-abroad/2014-China,Beijing,39.90419989999999,116.4073963
Reading tour,United Arab Emirates,2014,https://iwp.uiowa.edu/programs/reading-abroad/2014-United-Arab-Emirates,Abu Dhabi,24.453884,54.3773438
Reading tour,Turkey,2014,https://iwp.uiowa.edu/programs/reading-abroad/2014-Armenia-Turkey,Ankara,39.9333635,32.8597419
Reading tour,Armenia,2014,https://iwp.uiowa.edu/programs/reading-abroad/2014-Armenia-Turkey,Yerevan,40.1791857,44.4991029
Reading tour,Venezuela,2015,https://iwp.uiowa.edu/programs/reading-abroad/2015-Venezuela,Caracas,10.4805937,-66.90360629999999
Reading tour,Colombia,2015,https://iwp.uiowa.edu/programs/reading-abroad/2015-Colombia,Bogotá,4.710988599999999,-74.072092
Reading tour,Ukraine,2015,https://iwp.uiowa.edu/programs/reading-abroad/2015-Ukraine,Kiev,50.4501,30.5234
Distance Learning,Jordan,2015,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/spring-2015/room-of-ones-own,Amman,31.9453666,35.9283716
Distance Learning,Bahrain,2015,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/spring-2015/room-of-ones-own,Manama,26.2285161,50.5860497
Reading tour,Jordan,2016,No info,Amman,31.9453666,35.9283716
Reading tour,South Africa,2016,No info,Pretoria,-25.7478676,28.2292712
Reading tour,India,2016,No info,New Delhi,28.6139391,77.2090212
Reading tour,Ecuador,2016,No info,Quito,-0.1806532,-78.4678382
Distance Learning,Afghanistan,2016,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/summer-2016/every-grain-of-light,Jalalabad,34.4198488,70.47294339999999
Distance Learning,Afghanistan,2016,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/summer-2016/every-grain-of-light,Kabul,34.5553494,69.207486
Distance Learning,Afghanistan,2016,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/summer-2016/every-grain-of-light,Mazar-i-Sharif,36.69261669999999,67.1179511
Reading tour,Morocco,2017,No info,Tangiers,35.7594651,-5.833954299999999
