country,count
United States of America,97
Russia,57
Lebanon,15
Jordan,14
Morocco,13
Egypt,12
Israel,12
Bahrain,12
Palestine,9
Syria,8
Tunisia,7
Turkey,7
Armenia,7
Algeria,5
Kyrgyzstan,3
India,3
Saudi Arabia,3
Pakistan,3
Sri Lanka,3
Canada,3
West Bank,3
Bulgaria,3
Oman,2
Gaza,2
Iraq,2
China,2
Kuwait,2
Nepal,2
Bangladesh,1
Sudan,1
Libya,1
France,1
Yemen,1
