Category,Country,Year,link
Reading tour,United Arab Emirates,2014,https://iwp.uiowa.edu/programs/reading-abroad/2014-United-Arab-Emirates
Reading tour,Turkey,2014,https://iwp.uiowa.edu/programs/reading-abroad/2014-Armenia-Turkey
Reading tour,Armenia,2014,https://iwp.uiowa.edu/programs/reading-abroad/2014-Armenia-Turkey
Reading tour,Venezuela,2015,https://iwp.uiowa.edu/programs/reading-abroad/2015-Venezuela
Reading tour,Colombia,2015,https://iwp.uiowa.edu/programs/reading-abroad/2015-Colombia
Reading tour,Ukraine,2015,https://iwp.uiowa.edu/programs/reading-abroad/2015-Ukraine
Distance Learning,Jordan ,2015,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/spring-2015/room-of-ones-own
Distance Learning,Bahrain,2015,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/spring-2015/room-of-ones-own
Reading tour,Jordan ,2016,No info
Reading tour,South Africa,2016,No info
Reading tour,India,2016,No info
Reading tour,Ecuador,2016,No info
Distance Learning,Afghanistan - Jalalabad,2016,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/summer-2016/every-grain-of-light
Distance Learning,Afghanistan - Kabul,2016,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/summer-2016/every-grain-of-light
Distance Learning,Afghanistan - Mazar-i-Sharif,2016,https://iwp.uiowa.edu/iwp-courses/distance-learning-courses/summer-2016/every-grain-of-light
Reading tour,Morocco - Tangiers,2017,No info
